mid,company_id
12475,915
9386,97
9386,5
9386,106891
7984,2307
7984,33
59930,9195
15765,9195
31643,11407
31643,4
6,33
6,1644
6,182
329,33
329,56
10909,278
10909,3589
507,285
29918,4
29918,27929
9593,55528
9593,5
42580,9195
22317,11308
1413,360
1413,174
12121,508
12121,174
2246,1023
2246,5
2246,97
10502,4564
10502,174
10440,559
10440,13309
9516,12
2320,1885
2320,174
5879,6116
5879,13139
5879,14668
83718,10565
83718,798
11971,3102
11971,8827
11971,288
31911,16827
31911,174
31911,798
788,25
788,492
21450,181
21450,10100
21450,12745
11231,5
10447,4972
10447,1280
10447,1755
31586,97
31586,12
31586,5
9300,11912
9300,36765
9300,10845
9559,171
9559,174
9800,559
713,418
713,14089
713,417
8291,5
18133,9195
25557,915
22588,33
22588,1
10872,10288
10872,9195
1245,5
1245,2370
11858,1504
11858,9195
7007,8780
7007,25
10467,10157
10467,5
10467,919
5550,41
8005,9
8005,5612
8005,25
2088,36907
2088,10163
2088,1382
10412,39712
10412,11840
10412,50619
47889,75712
47889,75713
14534,559
41878,16366
41878,249
41878,20769
424,33
424,56
35233,28822
35233,25
14291,932
11236,70
11236,174
11592,17411
11592,11308
8850,11393
8850,33
10445,11308
10445,5553
10445,23808
695,8
695,272
695,408
43535,9195
12519,14
12519,25158
12519,25159
23210,10104
23210,36889
23210,21
858,559
867,94856
867,4
78,5798
78,7965
78,174
13203,915
10442,559
11074,5
11074,25087
9607,915
9607,1504
9607,1755
17585,12
17585,135530
17585,455
9057,915
9057,10201
9057,1382
20967,164
10635,559
10635,2090
9479,8601
9479,8835
9479,9195
10057,2
10057,175
11969,915
11969,1504
319,10210
319,342
319,3322
26408,79233
26408,126266
26408,126267
15139,25
15139,1765
11446,103771
51980,82
51980,83
51980,1524
24405,10210
24405,174
8223,49
8223,105
14587,5778
31504,97
31504,5
23637,
17600,55150
17600,8
17600,55151
10897,33
10897,23506
10897,56
21352,4
68806,
37345,559
37345,115094
37345,919
32562,4606
32562,201
32562,1606
25403,9364
25403,16366
25403,20769
9066,4
771,477
771,25
251,4
812,2
812,6125
280,275
280,559
280,694
581,335
581,2630
268,9993
268,429
268,127499
274,41
274,55072
408,3166
10020,6125
10020,2
10020,10282
10895,3166
114,9195
114,10282
576,4051
15477,4063
124472,
7300,711
7300,10103
7300,81131
10824,278
10824,1382
275,1382
275,10163
25059,2
11827,4952
11827,5
8766,7405
8766,14
8766,15343
23570,65446
23570,14
47333,14
47333,114711
47333,1677
51242,10520
10112,2
10112,3166
4307,49
4307,105
46029,20295
46029,9195
46029,10201
32308,33
28121,11308
28121,12
28121,37350
12520,38091
12520,6032
12520,5
1592,4
1592,11661
19042,21
38884,45
38884,225
38884,315
47449,1302
47449,38179
47449,38180
36259,12
36259,12474
36259,40942
41852,60
40926,
9099,23
9099,33
2021,247
2021,271
2021,12745
61752,43
61752,4319
10988,976
10988,3668
10988,10210
12652,119743
12652,635
12652,439
10684,1302
10684,711
10684,1301
954,4
954,44
68445,7325
68445,7326
68445,140
18989,2231
18989,10355
18989,21
8840,33
11107,1382
11107,3492
11107,915
