company_id,company_name,country_id
25299,Era International Ltd,
2231,Trilogy Entertainment Group,US
69626,Tales From The Crypt Holdings,
1930,IRS Media,
14729,Populist Pictures,
37350,"Jackson/McHenry Company,The",
23808,Price Entertainment,
12474,J&M Entertainment,
36024,British Columbia Film Commission,
11840,Film Victoria,AU
39250,House & Moorhouse Films,
10157,Beacon Pictures,
1938,Scholastic Productions,US
8725,Latent Image Productions Pty. Ltd.,
1381,Specific Films,
355,R.P. Productions,FR
635,Les Films Alain Sarde,FR
2767,Mace Neufeld Productions,US
4028,Crowvision Inc.,
16823,Aleor Films,
1353,Hanna-Barbera Productions,US
21920,The Steve Tisch Company,
1947,New Deal Productions,
37294,Think Again Productions,
37295,Riot of Color,
201,ARTE,FR
12914,Nomad Films,
552,Dark Horse Entertainment,US
496,David Foster Productions,
662,Turman-Foster Company,
467,Renaissance Pictures,US
24217,Paragon Entertainment Corp.,
335,Tig Productions,
13040,Kasdan Pictures,
21857,Tool Shed Productions,
550,Little Bird,IE
3923,Strand Releasing,
25583,Strand Home Video,
170,Eve Productions Inc.,
7220,CAPCOM,JP
2662,Trans-Film,
30655,Fallingcloud,
22240,Initial Groupe,
258,Scott Rudin Productions,US
41,Orion Pictures,US
691,Cappa Productions,
82606,NBB Unit One Film Partners,
89311,"Ruddy Morgan Organization, The",
16737,Barcelona Films,
79560,NatWest Ventures,
7049,Enigma Productions,
58750,BSB,
30,Eddie Murphy Productions,US
14150,Orion Pictures Corporation,
18070,Heathrow Productions,
10098,Dorset Productions,
10099,Robert H. Solo Productions,
70969,Mainline Pictures,
7429,HBO Films,US
1350,Parkway Productions,
1988,Epic Productions,
23246,RCS Video,
45728,Cliffhanger Productions,
45729,Pioneer,
8812,Channel Productions,
6556,Alphaville Productions,
104611,Fourth Vision,
36863,Maverick Picture Company,US
708,Beijing Film Studio,
2269,China Film Co-Production Corporation,
19534,Mirage,
89521,Can I Watch,
89522,Islet,
89523,KPVI,
11751,Sidley Wright & Associates,
272,Spelling Entertainment,US
10348,Republic Pictures (II),
118,Det Danske Filminstitut,DK
106891,Apple / Rose,US
2307,Hell's Kitchen Films,
182,JVC,JP
3589,Kouf/Bigelow Productions,
285,Live Entertainment,
27929,Broadway Pictures,
55528,Oak Productions,
1023,Nelvana Limited,
13309,Jack Rollins & Charles H. Joffe Productions,
6116,Argos Films,FR
13139,Oshima Productions,JP
14668,Shibata Organisation,
3102,Renaissance Films,
8827,American Playhouse Theatrical Films,
16827,Night Life Inc.,
492,Blue Wolf Productions,
10100,Thin Man Films,GB
4972,Platinum Pictures,
1280,Pacific Western,US
1755,Allied Filmmakers,GB
11912,Mikado Film,IT
36765,Adventure Pictures,GB
10845,Lenfilm,RU
418,New South Wales Film & Television Office,AU
14089,Jan Chapman Productions,
417,Australian Film Commission,AU
8780,Walrus & Associates,
919,Beacon Communications,
5612,Brooksfilms,
36907,Hilary Henkin,
39712,Seon Film Productions,
50619,Romper Stomper Pty. Ltd.,
75712,Ruby in Paradise,
75713,Full Crew/Say Yea,
249,Société Nouvelle de Cinématographie,
20769,Banfilm,
28822,Santo Domingo Film & Music Video,
17411,Polar Entertainment,
5553,Shadowlands Productions,
408,Avenue Entertainment,
25158,Sarah Radclyffe Productions - Sirens Limited,
25159,British Screen Finance Ltd,
36889,Maiden Movies,
5798,Shaw Brothers,HK
25087,Arnon Milchan Productions,
135530,David Permut Productions,
455,Permut Presentations,US
164,Rhombus Media,CA
8601,Tim Burton Productions,
8835,Skellington Productions Inc.,
342,Davis Films,FR
3322,August Entertainment,
79233,Pennebaker Associates Inc.,
126266,McEttinger Films,
126267,Cyclone Films,
1765,Turner Pictures,US
103771,Suburban Pictures,
83,France 2 Cinéma,FR
1524,DD Productions,
49,El Deseo,ES
5778,Channel 4 Television,GB
55150,Swelter Films,
55151,Buckeye Films,
23506,King World Entertainment,
115094,Ardican Films,
9364,Sacher Film,IT
477,Hughes Entertainment,
694,StudioCanal,FR
127499,Polygram Entertainment,US
55072,Strong Heart/Demme Production,US
3166,Walt Disney Productions,US
10282,Silver Screen Partners IV,US
4051,Warner Bros./Seven Arts,US
711,Fox 2000 Pictures,US
81131,Rosa Productions,
4952,Canadian Film Development Corporation (CFDC),
15343,Trans Atlantic Entertainment,
65446,The Chess Club,
114711,Cineritino S.r.L.,
1677,Mediaset,IT
10520,Verona Produzione,
20295,Sociedad General de Televisión (Sogetel),
38091,WF/X,
6032,The Vault,
45,Road Movies Filmproduktion GmbH,DE
225,BIM Distribuzione,IT
315,Filmstiftung Nordrhein-Westfalen,DE
38179,Skyline Entertainment Partners,US
38180,Dark Matter Productions,
40942,Shooting Star Entertainment,
247,Granada Film Productions,
271,Mainstream S.A.,
976,Marvin Worth Productions,US
3668,ABC Productions,
119743,Cecchi Gori Group Tiger Cinematografica,IT
439,Prokino Filmproduktion,
1301,Joseph M. Singer Entertainment,
44,Cruise/Wagner Productions,
7325,Icicle,
7326,Film Fonds,DE
140,Pandora Film,DE
126,Lakeshore Entertainment,US
653,Komuna,RS
6242,Barrandov Studio,CZ
10354,FM Entertainment International N.V.,
1984,Government of West Bengal,
26424,Satyajit Ray Productions,
1310,Best Brains,
55527,Courtside Seats Productions,
1216,Dino de Laurentiis Cinematografica,IT
1497,Marianne Productions,FR
16832,129 Productions,
46654,Filmstudio,
54659,Athos Films,
63558,Chaumiane,
5270,Opala Productions,
38955,Orpheus Films,
8331,Van Peebles Films,
26109,Evzen Kolar Productions,
2982,Signature Pictures,US
10828,MDP Worldwide,
80,The Zanuck Company,US
55140,Noon Attack Pictures,
554,Silver Screen Partners III,
27128,The Bubble Factory,US
38181,American Films,
506,Newmarket Capital Group,US
663,12 Gauge Productions,
582,Hachette Première,
7961,Gaumont International,FR
65199,Northern Arts Entertainment,
297,Aardman Animations,GB
33624,Wood-Thomas Pictures,
14440,Red Wagon Entertainment,US
54051,Atman Entertainment,
89312,Fred Berner Films,US
5846,Thames Television,GB
10171,PVM Entertainment,
6137,Ruddy Morgan Productions,
11011,Fonds Eurimages du Conseil de l'Europe,FR
12242,Urania Film,
13837,K.G Productions,
23370,Constant c Productions,US
528,Bandai Visual,JP
529,Production I.G,JP
59118,Kodansha,JP
12450,Steelwork Films,
12451,Mediaworks,
88,Hawk Films,
21948,B.A. Produktion,
1704,Bavaria Film,DE
23417,Perathon Film-und Fernsehproduktions,DE
13675,Village Roadshow Entertainment,AU
4125,Available Light,PH
2173,Great Oaks Entertainment,
17179,BBC Arena,GB
72471,Studio Kankourama,
72472,Cinegrit,
7508,PEA,IT
73349,PEA,
2260,Les Films Marceau,
358,Noel Gay Motion Picture Company,
11561,Recorded Picture Company,GB
14698,Jeremy Thomas Productions,
1236,Mandalay Entertainment,
6092,Licht/Mueller Film Corporation,
6274,MK2 Productions,FR
21304,Cabin Fever Entertainment,
231,Initial Productions,
11948,Rio Dulce,
2070,Rastar Pictures,
2348,Nickelodeon Movies,US
28206,Prairie Oyster Productions,
87554,Fuchs/Burg,
109,Rome Paris Films,
223,Les Films du Losange,FR
2499,The Kushner-Locke Company,US
746,MTV Films,US
26192,Chestnut Hill Productions,
24827,Red Mullet Productions,
1363,Haft Entertainment,
1443,Matchmaker Films,
140433,Bad Bird Productions,
1679,Lux Film,IT
13437,Champs-Élysées Productions,
69625,Universal City Studios,
93380,Eleventh Street Production,
93381,Jon Kilik,
10211,Alfran Productions,US
3054,Golden Way Films Ltd.,
491,Summit Entertainment,US
11487,Sandcastle 5 Productions,US
961,Roger Birnbaum Productions,
15681,Kremlin Films,RU
762,Mutual Film Company,
1484,Yorktown Productions,
4285,Universal Cartoon Studios,
143049,Halloween VI Productions,
21438,Nightfall Productions,
62702,Whyaduck Productions,
30576,Ima Films,FR
4790,IMA Productions,
1460,Loew's,
11355,Jurow-Shepherd,
10715,Alfred J. Hitchcock Productions,US
6,RKO Radio Pictures,US
219,The Mirisch Company,US
11982,Ashton Productions,
11404,Stanley Donen Films,
31892,Loew's Incorporated,
1553,Selznick International Pictures,US
11447,Mercury Productions,
385,Stanley Kubrick Productions,GB
10096,Walter Wanger Productions,US
10917,Jerry Wald Productions,
146438,Billy Wilder Productions,
12668,Arthur Freed Production,
13579,George Stevens Productions,
1258,Michael Todd Company,
11770,Liberty Films (II),
4978,Gaumont-British Picture Corporation,GB
14121,Image Ten,
262,Independent Film Distributors,
3632,Romulus Films,
15931,Rizzoli-Haggiag,
3248,Santana Pictures Corporation,
100,Avon Production,
9330,Frank Capra Productions,
21154,Jacaranda Films,
21155,Investec Merchant Bank,
38567,BMG Independents,
31551,Pacific Motion Pictures Corporation,
78106,Stewart Pictures,
119937,Moshe Diamant Production,
887,Neo Productions,
11054,First Look International,US
656,Metropolitan Filmexport,FR
19529,Redemption Productions,
10153,Simian Films,
34998,Avnet/Kerner Productions,
133692,Buena Vista Distribution,
8830,Touchwood Pacific Partners 1,US
30702,Multicom entertainment,
6304,Robert Wise Productions,
6305,Argyle Enterprises,
5570,Allied Vision,
38436,World Film Music Limited,
38944,Clavius Base,
10532,World Productions,GB
2980,Forge,
67930,Chal Productions,
21583,Jam Productions,
4665,Addis Wechsler Pictures,
15231,Muse Productions,US
20809,Normal Life Productions,
163,Revolution Films,GB
240,Bazmark Films,
2833,Independent Pictures (II),
8824,The Alfred Shay Company Inc.,
3434,David L. Wolper Productions,US
137130,The Quaker Oats Company,
3185,Achilles,
13954,Rollins-Joffe Productions,US
11352,Prominent Features,
45505,Fish Productions,GB
20076,HandMade Films,GB
416,Python (Monty) Pictures Limited,
8846,Peerford Ltd.,
8844,Artista Management,
8776,Redford-Ritchie Productions,
273,Tatira-Hiller Productions,
18875,Leland Hayward Productions,
3245,First National Pictures,US
137,Great American Films Limited Partnership,
12360,Vestron Pictures,
26198,Dog Eat Dog Productions,
469,Hemdale Film Corporation,
104411,Cinema 86,
4764,Cinema 84,
1648,Gladden Entertainment,
525,Ixtlan Productions,
78806,Bill Graham Films,
927,Palace Pictures,
67781,Zupnik Cinema Group II,
67780,GGR,
1155,ITC,GB
964,Keith Barish Productions,
1317,Charles K. Feldman Group,
19264,Conseil Général de l'Aveyron,
793,Galatée Films,FR
208,Bac Films,FR
8764,Redwave Films,
65387,Public Television Playhouse Inc.,
3989,C&P Productions,
874,Cinéa,
6541,D.A. Films,
23210,Center for Film and Audiovisual Arts of the French Community of Belgium,
38692,Kardana Films,
11317,Phoenix Pictures,US
39526,Woodward Productions,
39527,Weiny Bro Prods.,
10257,Jewel Productions,
10258,Pimlico Films,
494,AVCO Embassy Pictures,US
495,EDI,
498,Debra Hill Productions,
500,Goldcrest,GB
502,International Film Investors,
10312,Wescom Productions,
875,Films A2,FR
463,Michael White Productions,
464,National Film Trustee Company,GB
1373,Jürgen Brüning Filmproduktion,DE
56302,Dangerous to Know Swell Co.,
56303,Hustler White Productions,
8738,David Sonenberg Production,
139237,DAS Films,US
28766,Productions Marcel Dassault,FR
1579,FR3,FR
3554,ATHANOR,CZ
23483,Heart of Europe Prague K Productions,
6084,Scalera Film S.p.a.,
22965,Invicta Films,
168,Jadran Film,HR
1521,Artemis Film,DE
1548,Franz Seitz Filmproduktion,
3862,Keep Films,
23932,UGC PH,
67486,Rai 3,IT
7110,Les Films Ariane,FR
119518,Cristaldifilm,
2238,Elsevira,
2240,Erbograph Co.,
2241,Vendex,
25021,Constellation,
63751,Sidéral Productions,
7984,"Zespól Filmowy ""Tor""",
12984,Norsk Film,NO
12918,Greenpoint Films,
611,Bryna Productions,
5231,Cineplex-Odeon Films,
12204,Tiger Moth Productions,
8694,Silvio Berlusconi Communications,
6651,Penta Films,
17087,A.M.A. Film,IT
1468,Ferndale Films,
14063,Granada Television,GB
1923,RTÉ,IE
1419,Virgin,
36289,Atchafalaya,
2081,Beyond Films,
62139,M & A,
1380,Australian Film Finance Corporation,AU
307,IFC Films,US
49628,Third Floor Productions,
2188,Artisan Entertainment,US
286,Fantasy Films,
49243,The Princess Bride Ltd.,US
49244,Buttercup Films Ltd.,US
56485,Act III Productions,US
10214,Embassy International Pictures,US
19747,Brandywine Productions,US
396,SLM Production Group,US
5755,Constantin Film,DE
10212,Orion-Nova Productions,
11356,Horizon Pictures,GB
1511,Pakula-Mulligan,
24308,Brentwood Productions,
218,Rafran Cinematografica,
11386,Finanzia San Marco,
8366,Road Movies Filmproduktion,DE
36229,Wim Wenders Stiftung,DE
659,London Film Productions,
632,British Lion Films,GB
8880,Winkler Films,US
493,Introvision International,
1598,Herald Nippon,JP
1657,Greenwich Film Production,FR
8886,Herald Ace,JP
3618,Film Workshop,
6213,Golden Princess Film Production Limited,
5551,Long Shong Pictures,
10717,Shamley Productions,US
536,The Coppola Company,US
50819,Natant,
17700,NFTS,GB
1869,AMLF,
5237,The Saul Zaentz Company,US
1432,Republic Pictures,US
11670,Producers Sales Organization (PSO),
344,Mosfilm,RU
209,Radiant Film GmbH,
210,Südwestdeutscher Rundfunk,DE
1865,Zanuck/Brown Productions,US
6181,Svensk Filmindustri,SE
3952,Hemdale Film,
466,Avalon/NFU Studios,
27349,Freddie Fields Productions,US
10492,Thirteen,US
3593,Brandenberg,
11273,Circle Films,
47557,"Lawrence Turman Films, Inc.",
10330,Universal International Pictures,
371,Cecchi Gori Group Tiger Cinematografica,
22191,Les Films du Loup,
9387,Cineriz,
10882,Francinex,FR
6226,Penthouse,US
10208,Long Road Productions,
11043,A&M Films,
3902,CBS Entertainment Productions,
11272,Peregrine,
43854,Nero-Film AG,DE
106908,Rosebud,US
538,EMI Films,GB
11359,France 2,FR
9377,Les Films Galaxie,
623,MC Productions,
2488,SC Entertainment,
21612,Black Snake,
42043,Grokenberger Film Produktion,
10920,Akira Committee Company Ltd.,
3363,Mainichi Broadcasting System (MBS),
10921,Sumitomo Corporation,JP
2737,Davis-Panzer Productions,
6179,Thorn EMI Screen Entertainment,
107461,Highlander Productions Limited,
11496,Jalem Productions,US
1296,Crossbow Productions,
1297,Gruskoff/Venture Films,
1298,Jouer Limited,
21329,ERA International,TW
21330,Century Communications,
71975,Roy Export Company Establishment,
893,Stanley Kramer Productions,US
1950,New World Pictures,
10170,Cinemarque Entertainment,
3566,Spinal Tap Prod.,
16644,IRE Productions,
16645,Santa Fe Institute for Regional Education,
1176,Lorimar Film Entertainment,US
136372,BSB,
501,Indo-British,
11494,Curzon Film Distributors,
11493,National Film Finance Corporation (NFFC),
3088,Delphi III Productions,US
8834,Tin Blue,
115,FilmTeknik,SE
624,Persky-Bright Productions,
625,Devon,
381,Campanile Productions,US
382,Newman-Foreman Productions,US
1448,Pro-ject Filmproduktion,DE
365,Nelson Entertainment,
5025,Helvey-Pray Production,
2051,Kinowelt Filmproduktion,
60710,Mindy Affrime,
986,Degeto Film,
3525,Skreba Films,
276,Guber/Peters Company,
606,American Werewolf Inc.,
84937,VPS Studios,
35872,Steve White Productions,
484,De Laurentiis Entertainment Group (DEG),
5333,Zeta Entertainment,US
25690,Promark Entertainment Group,
28277,Spectacor Films,
36394,A. Ninety-Three Productions,
75480,Media Transactions,
124763,Estudios Churubusco Azteca S.A.,
9266,American International Pictures,US
17799,CFCF-TV,CA
10000,Compagnia Cinematografica Champion,
10001,Andy Warhol Productions,
77507,YCTM,
52760,Hometown Films,
18038,Sterobcar Productions,
47593,Tonylyn Productions Inc.,
14203,Valley Forge Films,
71109,Fairview Productions,
78004,Empress Film Production Corporation,
14323,Compass International Pictures,
4847,Vista Street Entertainment,
2019,Osiris Films,US
9228,Dan Curtis Productions,US
11390,Melville-Talbot Productions,
1531,Smart Egg Pictures,GB
1960,Prana-Film GmbH,
145816,Jofa-Atelier Berlin-Johannisthal,
49589,Scena Film,
1242,Reteitalia,IT
20926,Marmont Productions,
20927,Blood & Wine Productions,
2533,Albino Alligator Productions,
123,Trust Film,
41999,South Australian Feature Film Company,
1596,Shooting Gallery,
7286,Epithète Films,FR
3978,Robert Stigwood Organization (RSO),
137497,Fine Arts Films,
3495,Steamroller Productions,
23308,Victor & Grais Productions,
79415,MCA  Theatricals,
4904,Alan Landsburg Productions,
16774,Peters Entertainment,
8797,Storyline Entertainment,US
485,Vinyl Films,US
10531,Silver Screen Partners II,
132897,Out of Carolina Productions,
15846,Dimitri Villard Productions,
11391,Tribeca Productions,US
7930,Olga Film GmbH,
6189,Turner Pictures (I),CA
310,CNC,FR
10927,Si Litvinoff Film Production,
57288,Max L. Raab Productions,
76487,1600 Limited Partnership,
129733,Z-INC Films,
4042,Astral Films,
20147,Laurentic Film Productions,
20148,Torii Production,
30584,Thinkfactory Media,
1560,Roth-Arnold Productions,
38664,Sheinberg Productions,
29327,Space Films,CZ
185,Pandora Cinema,
486,Portobello Pictures,GB
8841,Pale Morning Dun,
133563,High School Sweethearts,
60285,Koch Company,
11510,Detour Filmproduction,US
373,Asymmetrical Productions,
2604,Mark Johnson Productions,
356,TF1 Films Production,FR
6236,NDF International,
252,Mirabai Films,US
579,Alliance Communications,
38374,Cinépix Film Properties (CFP),CA
132227,Fiasco Photoplays,
9313,Esparza / Katz Productions,
4729,Q Productions,US
11050,David Kirschner Productions,
90511,Turner Feature Animation,
15635,Beyond Films,
20922,New Vision Films,
127855,Screwball Five,
55532,St. Tropez Films,
55533,Cinema Line Film Corporation,
25686,Canada Council Media Arts,
25687,Boneyard Film Company Inc.,
10316,British Columbia Film,
3581,Brad Krevoy & Steve Stabler production,
5368,Samson Productions,
111276,Shanghai Film Studios,
111277,Tomsen Films,
20196,Australian Asset Securities Limited,
20197,Rev Kids,
595,Eric's Boy,
7713,Communicado Productions,NZ
1475,UGC Images,
729,Why Not Productions,FR
5982,Bioskop Film,
1712,Odessa Films,FR
5099,Altamira Pictures Inc.,
882,"Toho Company, Ltd.",JP
19507,Outlaw Productions (I),
76068,Digital Image Associates,
1666,Rhône-Alpes Cinéma,FR
22319,Centre Européen Cinématographique Rhône-Alpes,
3187,.406 Production,
5330,Bruin Grip Services,
5331,Good Dog Productions,US
5332,Utopia Pictures,US
720,Goldwyn Films,
6255,Jim Henson Pictures,US
130,Jerry Bruckheimer Films,US
4506,Kasander & Wigman Productions,
4508,Nederlands Fonds voor de Film,NL
35304,Blue Tulip Productions,
52515,Remote,
2756,Vertigo Productions,FR
1714,Les Films Concordia,
25358,Krane Entertainment,
32218,Terence Michael Productions,
49325,Parkes+MacDonald Image Nation,
43910,South Side Amusement Company,
1643,First Independent Films,
6455,Edward R. Pressman Film,
10227,Mandeville Films,US
978,Across the River Productions,
248,Impact Pictures,CA
2484,Golar Productions,
3907,Pull Down Your Pants Pictures,
23364,Todd McFarlane Entertainment,
15709,Keystone Pictures,
803,Alliance Atlantis Communications,
8809,Fair and Square Productions,
38861,Matrix Films,
2554,Quincy Jones-David Salzman Entertainment,
3409,Korsala Productions,
3410,Raffaella De Laurentiis Productions,
18990,Radiant Productions,
1693,Nina Saxon Film Design,
1483,Redeemable Features,
4700,The Linson Company,US
7,DreamWorks Pictures,US
57435,Applecross,
2923,Edmonds Entertainment Group,US
21084,Image Organization,
24075,Pierre David,
53473,Canal+ Droits Audiovisuels,
3480,Illusion Entertainment Group,
5406,Good Film Company,
25063,Program de Credits of Impuc,
11578,Super Écran,
75348,Nunez-Gowan,
