person_id,name,department,birthday,deathday,gender,birth_place
62,Bruce Willis,Acting,1955/03/19,,2,"Idar-Oberstein, Germany"
289,Madeleine Stowe,Acting,1958/08/18,,1,Los Angeles - California - USA
287,Brad Pitt,Acting,1963/12/18,,2,"Shawnee, Oklahoma, USA"
290,Christopher Plummer,Acting,1929/12/13,,2,"Toronto, Ontario, Canada"
52,David Morse,Acting,1953/10/11,,2,"Hamilton, Massachusetts, USA"
58136,Christine Cavanaugh,Acting,1963/08/16,,1,"Utah, United States"
6199,Miriam Margolyes,Acting,1941/05/18,,1,"Oxford, England, UK"
52699,Danny Mann,Acting,1951/07/28,,2,
1331,Hugo Weaving,Acting,1960/04/04,,2,"Ibadan, Nigeria"
35109,Miriam Flynn,Acting,1952/06/18,,1,"Cleveland, Ohio, USA"
4038,Susan Sarandon,Acting,1946/10/04,,1,"New York City, New York, USA"
2228,Sean Penn,Acting,1960/08/17,,2,"Santa Monica, California, USA"
10360,Robert Prosky,Acting,1930/12/13,,2,"Philadelphia, Pennsylvania, USA"
8655,R. Lee Ermey,Acting,1944/03/24,,2,"Emporia, Kansas, USA"
1796,Kirstie Alley,Acting,1951/01/12,,1,"Wichita, Kansas, USA"
26472,Steve Guttenberg,Acting,1958/08/24,,2,"Brooklyn, New York City, New York, USA"
67848,Ashley Olsen,Acting,1986/06/13,,1,"Sherman Oaks, California, USA"
67849,Mary-Kate Olsen,Acting,1986/06/13,,1,"Sherman Oaks, California, USA"
92255,Jane Sibbett,Acting,1962/11/28,,1,"Berkeley, California, USA"
5588,Alicia Silverstone,Acting,1976/10/04,,1,"San Francisco, California, USA"
58150,Stacey Dash,Acting,1966/01/20,,1,"Bronx, New York, USA"
328,Brittany Murphy,Acting,1977/11/10,,1,"Atlanta, Georgia, USA"
22226,Paul Rudd,Acting,1969/04/06,,2,"Passaic, New Jersey, USA"
49002,Donald Faison,Acting,1974/06/22,,2,"New York City, New York, USA"
15152,James Earl Jones,Acting,1931/01/17,,2,"Arkabutla, Mississippi, USA"
17764,Charles S. Dutton,Acting,1951/01/30,,2,"Baltimore, Maryland, USA"
123831,Jack Robinson,Acting,,,0,
123833,Tsholofelo Wechoemang,Acting,,,0,
123834,Ramalao Makhene,Acting,,,0,
1327,Ian McKellen,Acting,1939/05/25,,2,"Burnley, Lancashire, England, UK"
388,Jim Broadbent,Acting,1949/05/24,,2,"Lincoln, Lincolnshire, England, UK"
3223,Robert Downey Jr.,Acting,1965/04/04,,2,"Manhattan, New York City, New York, USA"
5470,Kristin Scott Thomas,Acting,1960/05/24,,1,"Redruth, Cornwall, England, UK"
18291,Larenz Tate,Acting,1975/09/08,,2,"Chicago, Illinois, USA"
65827,Keith David,Acting,1956/06/04,,2,"Harlem, New York City, New York, USA"
66,Chris Tucker,Acting,1971/08/31,,2,"Atlanta, Georgia, USA"
6862,Freddy Rodríguez,Acting,1975/01/17,,2,Chicago - Illinois - USA
69447,Rose Jackson,Acting,,,1,
5344,Meg Ryan,Acting,1961/11/19,,1,"Fairfield, Connecticut, USA"
4783,Sam Neill,Acting,1947/09/14,,2,"Omagh, County Tyrone, Northern Ireland, UK"
11207,David Thewlis,Acting,1963/03/20,,2,"Blackpool, Lancashire, England, UK"
38559,Christopher Lambert,Acting,1957/03/29,,2,"Great Neck, Long Island, New York, USA"
57250,Robin Shou,Acting,1960/07/17,,2,"Hong Kong, British Crown Colony [now China]"
57251,Linden Ashby,Acting,1960/05/23,,2," Atlantic Beach, Florida, USA"
11398,Cary-Hiroyuki Tagawa,Acting,1950/09/27,,2,"Tokyo, Japan"
20751,Bridgette Wilson,Acting,1973/09/25,,1,"Gold Beach, Oregon, USA"
2227,Nicole Kidman,Acting,1967/06/20,,1,"Honolulu, Hawaii, USA"
2876,Matt Dillon,Acting,1964/02/18,,2,"New Rochelle, New York, USA"
73421,Joaquin Phoenix,Acting,1974/10/28,,2,"San Juan, Puerto Rico"
1893,Casey Affleck,Acting,1975/08/12,,2,"Falmouth, Massachusetts, USA"
2841,Alison Folland,Acting,1978/08/10,,1," Boston, Massachusetts, United States"
1920,Winona Ryder,Acting,1971/10/29,,1,"Winona, Minnesota, USA"
10774,Anne Bancroft,Acting,1931/09/17,,1,"Bronx, New York, USA"
9560,Ellen Burstyn,Acting,1932/12/07,,1,"Detroit, Michigan, USA"
18794,Kate Nelligan,Acting,1950/03/16,,1,"London, Ontario, Canada"
14500,Jean Simmons,Acting,1929/01/31,,1,"Crouch Hill, London, England, UK"
192,Morgan Freeman,Acting,1937/06/01,,2,"Memphis, Tennessee, USA"
12052,Gwyneth Paltrow,Acting,1972/09/27,,1,"Los Angeles, California, USA"
11885,John C. McGinley,Acting,1959/08/03,,2,"New York City, New York, USA"
65529,Irene Bedard,Acting,1967/07/22,,1,"Anchorage, Alaska, USA"
2461,Mel Gibson,Acting,1956/01/03,,2,"Peekskill, New York, USA"
28010,David Ogden Stiers,Acting,1942/10/31,,2,"Peoria, Illinois, USA"
31365,John Kassir,Acting,1957/10/24,,2,"Baltimore, Maryland, USA"
3894,Christian Bale,Acting,1974/01/30,,2,"Haverfordwest, Pembrokeshire, Wales, UK"
54818,Pascale Bussières,Acting,1968/06/27,,1,
54819,Rachael Crawford,Acting,1969/01/01,,1,"	Toronto, Ontario, Canada"
15319,Henry Czerny,Acting,1959/02/08,,2,"Toronto, Ontario, Canada"
20173,Don McKellar,Acting,1963/08/17,,2,"Toronto, Ontario, Canada"
4569,David Fox,Acting,1941/01/01,,2,"Swastika, Ontario, Canada"
9045,Stephen Baldwin,Acting,1966/05/12,,2,"Massapequa, New York, USA"
1979,Kevin Spacey,Acting,1959/07/26,,2,"South Orange, New Jersey, USA"
5168,Gabriel Byrne,Acting,1950/05/12,,2,"Dublin, Ireland "
9046,Chazz Palminteri,Acting,1952/05/15,,2,"The Bronx, New York, USA"
7166,Kevin Pollak,Acting,1957/10/30,,2,"San Francisco, California, USA"
1243,Woody Allen,Directing,1935/12/01,,2,"The Bronx, New York City, New York, USA"
23931,Mira Sorvino,Acting,1967/09/28,,1,"Tenafly, New Jersey, USA"
1283,Helena Bonham Carter,Acting,1966/05/26,,1,"Golders Green, London, England, UK"
1164,F. Murray Abraham,Acting,1939/10/24,,2,"Pittsburgh, Pennsylvania, USA"
10560,Donald Symington,Acting,1925/08/30,,2,
27392,Enrico Lo Verso,Acting,1964/01/18,,2,"Palermo, Sicily, Italy"
25819,Michele Placido,Acting,1946/05/19,,2,"Ascoli Satriano, Puglia, Italy"
1149435,Piro Milkani,Directing,1939/01/05,,0,
1180060,Carmelo Di Mazzarelli,Acting,1918/09/13,,0,"Ragusa, Italia"
1306493,Elida Janushi,Acting,,,0,
46423,Olivia d'Abo,Acting,1969/01/22,,1,"Paddington, London, England, UK"
69395,Bug Hall,Acting,1985/02/04,,2,"Fort Worth, Texas, USA"
6067,Jay O. Sanders,Acting,1953/04/16,,2,"Austin, Texas, USA"
8659,John Terry,Acting,1950/01/25,,2,"Vero Beach, Florida, USA"
10431,Jennifer Jason Leigh,Acting,1962/02/05,,1,"Hollywood, Los Angeles, California, USA"
51544,Mare Winningham,Acting,1959/05/16,,1,"Phoenix, Arizona, U.S."
15854,Ted Levine,Acting,1957/05/29,,2,"Parma, Ohio, USA"
7268,Max Perlich,Acting,1968/03/28,,2,"Cleveland, Ohio, USA"
