index,mid,person_id
752,47608,162949
753,2293,11662
754,2293,23646
755,2293,19144
756,2293,4174
757,2293,880
758,9070,50098
759,9070,56897
760,9070,56895
761,9070,56896
762,9070,50096
763,48787,545828
764,48787,102754
765,48787,88519
766,48787,550752
767,48787,1281840
768,34574,17257
769,34574,8949
770,34574,42993
771,34574,1936113
772,34574,27176
773,1642,18277
774,1642,18325
775,1642,18326
776,1642,18327
777,1642,18328
778,11472,3291
779,11472,1231
780,11472,74036
781,11472,3234
782,11472,4785
783,36196,7489
784,36196,176628
785,36196,8695
786,36196,56694
787,36196,23626
788,11980,4690
789,11980,13550
790,11980,12519
791,11980,7036
792,11980,110
793,58372,12021
794,58372,349
795,58372,18248
796,58372,3417
797,58372,39015
798,32646,1231
799,32646,54246
800,32646,3982
801,32646,6474
802,32646,67671
803,10533,3416
804,10533,64
805,10533,3087
806,10533,10360
807,10533,3545
808,10802,19189
809,10802,6677
810,10802,11150
811,10802,2683
812,10802,2055
813,10149,1037
814,10149,227
815,10149,4808
816,10149,10963
817,10149,46395
818,18402,1204
819,18402,6065
820,18402,3087
821,18402,4800
822,18402,26467
823,9348,57395
824,9348,2282
825,9348,147
826,9348,19838
827,9348,658
828,281,5469
829,281,9780
830,281,3197
831,281,3196
832,281,11024
833,5967,50
834,5967,5476
835,5967,28608
836,5967,46935
837,5967,46936
838,47939,723
839,47939,1161
840,47939,4787
841,47939,24535
842,47939,6067
843,36834,6193
844,36834,11207
845,36834,40938
846,36834,19068
847,36834,150916
848,9090,10814
849,9090,723
850,9090,5723
851,9090,8893
852,9090,10401
853,3512,23880
854,3512,10866
855,3512,5616
856,3512,25541
857,3512,9779
858,52856,1533
859,52856,1241
860,52856,50807
861,52856,7868
862,52856,1238944
863,77350,56696
864,77350,3664
865,77350,56367
866,77350,547866
867,77350,533007
868,9560,6384
869,9560,37946
870,9560,5401
871,9560,7353
872,9560,1194312
873,9804,1269
874,9804,2778
875,9804,10478
876,9804,53930
877,9804,49832
878,31611,8891
879,31611,33162
880,31611,6473
881,31611,13307
882,31611,19453
883,65796,1229
884,65796,6913
885,65796,5049
886,65796,2882
887,65796,30613
888,49805,3926
889,49805,21245
890,49805,8654
891,49805,6104
892,49805,5658
893,26258,11511
894,26258,4253
895,26258,1274
896,26258,43366
897,26258,16293
898,50797,82796
899,50797,82795
900,50797,14593
901,50797,99311
902,50797,500625
903,19155,1641
904,19155,1118
905,19155,136170
906,19155,113758
907,19155,17787
908,76,569
909,76,1146
910,76,571
911,76,572
912,76,3738
913,11017,19292
914,11017,7333
915,11017,20751
916,11017,11367
917,11017,33489
918,37141,5588
919,37141,23646
920,37141,22131
921,37141,18070
922,37141,23975
923,9382,2395
924,9382,18248
925,9382,69597
926,9382,10297
927,9382,1736
928,6715,51214
929,6715,4787
930,6715,18750
931,6715,18070
932,6715,2958
933,18256,27993
934,18256,27995
935,18256,80291
936,18256,105645
937,18256,27279
938,22625,5577
939,22625,6613
940,22625,89021
