index,mid,country_id
853,18862,US
854,31417,FR
855,31417,IT
856,9431,US
857,47907,US
858,10061,US
859,549,US
860,10478,US
861,238,US
862,11134,HK
863,9303,US
864,23945,US
865,22479,US
866,9054,US
867,410921,CA
868,38955,HK
869,11015,DE
870,11015,JP
871,11015,NZ
872,9306,US
873,12559,US
874,58770,US
875,3587,US
876,10723,US
877,19004,US
878,101230,NL
879,10987,US
880,44705,GB
881,44705,IE
882,44705,US
883,20318,US
884,26933,FR
885,27854,US
886,981,US
887,872,US
888,2769,US
889,13320,US
890,164,US
891,426,US
892,567,US
893,3078,US
894,13528,US
895,28288,US
896,213,US
897,284,US
898,239,US
899,4808,US
900,289,US
901,963,US
902,11113,US
903,6620,US
904,804,US
905,26531,US
906,909,US
907,630,US
908,770,US
909,31044,US
910,599,US
911,15,US
912,62,GB
913,62,US
914,705,US
915,22490,US
916,223,US
917,25670,US
918,303,US
919,4174,US
920,8356,US
921,381,US
922,20758,US
923,29376,US
924,1859,US
925,18299,US
926,17281,US
927,10907,US
928,32093,US
929,1939,US
930,22292,US
931,3598,US
932,3080,US
933,198,US
934,13562,US
935,1712,US
936,220,US
937,3529,US
938,3085,US
939,2897,US
940,1585,US
941,3083,US
942,900,US
943,43795,US
944,43905,US
945,23114,US
946,40206,US
947,260,GB
948,10331,US
949,488,GB
950,488,US
951,22733,US
952,22733,GB
953,22733,IT
954,261,US
955,32574,US
956,22649,US
957,125587,IE
958,125587,GB
959,52855,US
960,52855,ZA
961,39940,US
962,85328,US
963,85328,FR
964,11076,US
965,63945,CA
966,63945,US
967,58985,US
968,10861,US
969,1770,IE
970,1770,GB
971,2033,US
972,18203,US
973,9333,US
974,9400,US
975,9401,US
976,11306,US
977,9625,US
978,10680,US
979,6346,US
980,18660,US
981,35115,US
982,14821,US
983,14136,US
984,10869,US
985,22660,US
986,19186,US
987,31102,US
988,6878,US
989,15944,US
990,18444,US
991,20723,US
992,173,US
993,864,US
994,24795,US
995,11224,US
996,81310,US
997,15947,US
998,9078,US
999,8367,US
1000,433,US
1001,11360,US
1002,11114,US
1003,12335,US
1004,12092,US
1005,10948,US
1006,11229,US
1007,15121,US
1008,562,US
1009,10163,GB
1010,10163,JP
1011,10163,US
1012,47199,GB
1013,11159,GB
1014,11159,FR
1015,9591,US
1016,30500,US
1017,10938,GB
1018,11412,US
1019,10586,DE
1020,10586,US
1021,42314,US
1022,27845,US
1023,23223,US
1024,49471,US
1025,38153,US
1026,25147,GB
1027,9716,US
1028,454,US
1029,10218,US
1030,819,US
1031,11238,US
1032,31530,US
1033,28120,US
1034,252,DE
1035,252,US
1036,16372,GB
1037,11561,US
1038,11302,US
1039,623,GB
1040,623,US
1041,583,GB
1042,12614,GB
1043,12614,US
1044,21711,US
1045,11575,US
1046,475,US
1047,11331,US
1048,521,US
1049,88,US
1050,500,US
1051,792,US
1052,792,GB
1053,8491,US
1054,402,FR
1055,402,US
1056,10537,US
1057,11386,JP
1058,11386,GB
1059,11386,IE
1060,9504,US
1061,15764,GB
1062,15764,US
1063,601,US
1064,25842,US
1065,2119,US
1066,744,US
1067,221,US
1068,702,US
1069,25750,US
1070,9305,FR
1071,9305,IT
1072,9305,CH
1073,37616,US
1074,21612,US
1075,102461,FR
1076,36998,BE
1077,36998,GB
1078,36998,FR
1079,116844,US
1080,1630,US
1081,26626,US
1082,124837,
1083,11816,US
1084,11843,GB
1085,10379,GB
1086,10379,US
1087,2756,US
1088,790,US
1089,1103,GB
1090,1103,US
1091,11298,US
1092,4480,FR
1093,4481,FR
1094,10765,US
1095,762,GB
1096,44497,CA
1097,44497,DE
1098,99479,US
1099,124829,
1100,10548,US
1101,531,GB
1102,4483,FR
1103,18919,CZ
1104,18919,FR
1105,18919,GB
1106,61461,IT
1107,659,DE
1108,30892,GB
1109,86369,FR
1110,86369,BE
1111,86369,NL
1112,38554,US
1113,36555,US
1114,10608,GB
1115,10608,US
1116,11216,IT
1117,7452,FR
1118,7452,NL
1119,7452,GB
1120,892,FR
1121,1600,FR
1122,1600,NO
1123,1600,PL
1124,26561,GB
1125,975,US
1126,18129,US
1127,54405,
1128,409,GB
1129,409,US
1130,38251,IT
1131,10161,IE
1132,10161,GB
1133,1412,US
1134,41768,US
1135,10409,AU
1136,14285,US
1137,2469,ES
1138,10174,US
1139,31225,US
1140,510,US
1141,11455,US
1142,1891,US
1143,2493,US
1144,85,US
1145,68,GB
1146,68,US
1147,679,US
1148,679,GB
1149,429,US
1150,429,IT
1151,429,ES
1152,13446,GB
1153,389,US
1154,947,GB
1155,185,GB
1156,185,US
1157,595,US
1158,28,US
1159,335,IT
1160,335,US
1161,1892,US
1162,144,DE
1163,144,FR
1164,1092,GB
1165,769,US
1166,348,US
1167,348,GB
1168,766,US
1169,175,FR
1170,175,IT
1171,175,US
1172,11645,JP
1173,11645,FR
1174,10835,HK
1175,539,US
1176,525,US
1177,240,US
1178,600,GB
1179,600,US
1180,530,GB
1181,10705,GB
1182,279,US
1183,3109,US
1184,311,US
1185,311,IT
1186,1578,US
1187,703,US
1188,9549,US
1189,1398,RU
1190,1398,SU
1191,387,DE
1192,9277,US
1193,343,US
1194,37291,GB
1195,37291,US
1196,490,SE
1197,11235,GB
1198,218,GB
1199,218,US
1200,763,NZ
1201,9665,US
1202,18971,GB
1203,18971,US
1204,696,US
1205,379,US
1206,207,US
1207,37247,US
1208,1480,US
1209,9322,FR
1210,9322,IT
1211,826,GB
1212,826,US
1213,422,IT
1214,422,FR
1215,829,US
1216,828,US
1217,3090,US
1218,9964,NZ
1219,3063,US
1220,13667,US
1221,694,US
1222,694,GB
1223,235,US
1224,832,DE
1225,765,US
1226,5925,US
1227,11778,GB
1228,11778,US
1229,4485,FR
1230,137,US
1231,33,US
1232,982,US
1233,8428,CA
1234,8428,US
1235,212,US
1236,105,US
1237,1633,US
1238,11202,US
1239,1554,DE
1240,1554,US
1241,149,JP
1242,8009,GB
1243,8009,US
1244,903,US
1245,11673,FR
1246,3034,US
1247,339,DE
1248,339,FI
1249,339,FR
1250,10404,CN
1251,10404,HK
1252,10404,TW
1253,914,US
1254,756,US
1255,288,US
1256,910,US
1257,2640,US
1258,16633,US
1259,665,US
1260,11031,US
1261,11314,US
1262,15143,US
1263,89,US
1264,10322,DE
1265,10322,US
1266,783,IN
1267,783,GB
1268,10644,US
1269,11257,GB
1270,14370,US
1271,12104,GB
1272,625,GB
1273,8816,SE
1274,830,US
1275,2323,US
1276,983,US
1277,983,GB
1278,642,US
1279,655,DE
1280,655,FR
1281,655,GB
1282,10341,AU
1283,10341,FR
1284,10341,DE
1285,639,US
1286,30180,US
1287,41801,DE
1288,41801,US
1289,18762,GB
1290,8077,GB
1291,8077,US
1292,814,GB
1293,814,US
1294,41671,US
1295,27214,US
1296,52263,US
1297,33519,US
1298,16235,MX
1299,16235,US
1300,11449,US
1301,41848,CA
1302,41848,US
1303,25944,IT
1304,25944,FR
1305,24913,CA
1306,24913,US
1307,49126,US
1308,32076,US
1309,571,US
1310,8851,US
1311,37843,US
1312,32146,US
1313,30346,US
1314,6114,US
1315,229,US
1316,13549,IT
1317,13549,US
1318,9529,US
1319,1598,US
1320,11349,US
1321,7340,US
1322,6217,US
1323,377,US
1324,653,DE
1325,28198,IT
1326,794,GB
1327,794,US
1328,31640,GB
1329,31640,US
1330,8744,US
1331,25189,US
1332,145,DK
1333,145,FR
1334,145,IS
1335,2212,US
1336,199,US
1337,7863,AU
1338,12498,US
1339,9279,US
1340,17204,US
1341,21539,US
1342,12709,FR
1343,20539,US
1344,11674,GB
1345,11674,US
1346,1573,US
1347,152,US
1348,174,US
1349,172,US
1350,154,US
1351,157,US
1352,168,US
1353,364,GB
1354,364,US
1355,11967,US
1356,9086,US
1357,621,US
1358,9037,US
1359,10173,US
1360,8845,FR
1361,8845,US
1362,578,US
1363,579,US
1364,17692,US
1365,17795,US
1366,75,US
1367,13891,US
1368,9390,US
1369,378,US
1370,10896,US
1371,2322,US
1372,41240,US
1373,26949,US
1374,9819,US
1375,31908,US
1376,3179,US
1377,1802,FR
1378,1802,DE
1379,4232,US
1380,9361,US
1381,2928,US
1382,10549,GB
1383,10549,US
1384,58102,GB
1385,58102,IE
1386,18451,US
1387,27265,US
1388,49935,FR
1389,8818,US
1390,8818,HU
1391,36758,GB
1392,36758,US
1393,36040,AU
1394,36040,GB
1395,9415,US
1396,55146,ZA
1397,12145,GB
1398,12145,US
1399,42424,BS
1400,42424,US
1401,34314,US
1402,2892,AU
1403,9404,HK
1404,85242,
1405,9622,US
1406,8860,US
1407,14832,FR
1408,14832,DE
1409,14832,GB
1410,9619,US
1411,40506,US
1412,31000,US
1413,4104,US
1414,26306,US
1415,14908,US
1416,784,FR
1417,784,CZ
1418,784,GB
1419,12489,US
1420,16448,US
1421,17894,US
1422,28059,US
1423,17949,US
1424,1968,US
1425,61563,US
1426,66,US
1427,20735,US
1428,11419,US
1429,638,US
1430,638,FR
1431,25624,US
1432,9366,US
1433,21915,US
1434,19952,US
1435,9446,US
1436,28005,GB
1437,28005,IN
1438,28005,US
1439,9403,US
1440,27322,US
1441,10003,US
1442,9311,DE
1443,9311,DK
1444,9311,SE
1445,884,CA
1446,49806,CA
1447,49806,US
1448,1624,US
1449,16052,US
1450,4477,US
1451,24662,US
1452,18423,
1453,76996,AU
1454,6499,JP
1455,6499,US
1456,50512,US
1457,9405,US
1458,12723,US
1459,9360,US
1460,9434,US
1461,21626,CA
1462,13982,GB
1463,13982,US
1464,77223,AU
1465,77223,US
1466,9611,US
1467,47694,CN
1468,47694,HK
1469,10357,US
1470,9977,AU
1471,816,DE
1472,816,US
1473,2163,US
1474,124680,NZ
1475,12499,US
1476,18,FR
1477,1811,FR
1478,1811,US
1479,105045,FR
1480,105045,DE
1481,105045,CH
1482,11239,JP
1483,2058,US
1484,9450,GB
1485,9450,US
1486,330,US
1487,38523,FR
1488,16375,US
1489,33660,US
1490,45671,GB
1491,45671,US
1492,45671,FR
1493,17770,US
1494,15170,US
1495,1701,US
1496,26422,GB
1497,26422,FR
1498,26422,LU
1499,1639,US
1500,415,GB
1501,415,US
1502,65889,IT
1503,65889,US
1504,11103,US
1505,11970,US
1506,8874,US
1507,11956,FR
1508,266,FR
1509,266,IT
1510,754,US
1511,37567,US
1512,607,US
1513,18080,US
1514,38225,US
